,Unnamed: 0,clouds,dew_point,dt,feels_like,humidity,pressure,rain,temp,wind_deg,wind_speed(m/s),mean_WindSpeed(m/s),mean_wind_deg,time,id, main, description, icon
0,0,11,292.12,1594123200,303.17,46,1006,,305.19,273,7.47,7.5,270,01/19/1970  10:48:43,801, Clouds, few clouds, 02d
1,1,53,292.56,1594126800,302.6,50,1006,,304.2,273,7.16,7.0,270,01/19/1970  10:48:46,803, Clouds, broken clouds, 04d
2,2,80,293.21,1594130400,302.39,57,1008,,302.62,274,5.63,5.5,270,01/19/1970  10:48:50,803, Clouds, broken clouds, 04n
3,3,74,293.43,1594134000,301.36,62,1008,,301.4,281,5.51,5.5,270,01/19/1970  10:48:54,803, Clouds, broken clouds, 04n
4,4,70,293.65,1594137600,301.26,65,1008,,300.82,283,4.98,5.0,270,01/19/1970  10:48:57,803, Clouds, broken clouds, 04n
5,5,67,293.83,1594141200,301.13,66,1009,,300.59,284,4.86,5.0,270,01/19/1970  10:49:01,803, Clouds, broken clouds, 04n
6,6,72,293.95,1594144800,301.26,68,1009,,300.36,290,4.53,4.5,300,01/19/1970  10:49:04,803, Clouds, broken clouds, 04n
7,7,100,294.05,1594148400,301.41,68,1008,,300.23,284,4.05,4.0,270,01/19/1970  10:49:08,804, Clouds, overcast clouds, 04n
8,8,100,294.13,1594152000,300.9,70,1007,,299.91,284,4.43,4.5,270,01/19/1970  10:49:12,804, Clouds, overcast clouds, 04n
9,9,100,294.06,1594155600,300.81,71,1006,,299.59,282,4.06,4.0,270,01/19/1970  10:49:15,804, Clouds, overcast clouds, 04n
10,10,100,294.04,1594159200,300.89,72,1006,,299.44,284,3.78,4.0,270,01/19/1970  10:49:19,804, Clouds, overcast clouds, 04n
11,11,100,293.99,1594162800,301.14,73,1006,,299.14,285,2.96,3.0,300,01/19/1970  10:49:22,804, Clouds, overcast clouds, 04n
12,12,100,293.85,1594166400,300.9,73,1007,,298.94,285,2.87,3.0,300,01/19/1970  10:49:26,804, Clouds, overcast clouds, 04n
13,13,100,293.84,1594170000,300.96,73,1008,,298.91,286,2.73,2.5,300,01/19/1970  10:49:30,804, Clouds, overcast clouds, 04d
14,14,100,293.77,1594173600,302.6,66,1008,,300.55,288,2.68,2.5,300,01/19/1970  10:49:33,804, Clouds, overcast clouds, 04d
15,15,100,293.21,1594177200,304.47,56,1009,,302.82,282,2.89,3.0,270,01/19/1970  10:49:37,804, Clouds, overcast clouds, 04d
16,16,99,292.65,1594180800,305.75,48,1009,,304.92,277,3.69,3.5,270,01/19/1970  10:49:40,804, Clouds, overcast clouds, 04d
17,17,93,292.46,1594184400,306.97,43,1009,,306.54,278,4.05,4.0,270,01/19/1970  10:49:44,804, Clouds, overcast clouds, 04d
18,18,95,292.44,1594188000,307.35,41,1009,,307.38,275,4.71,4.5,270,01/19/1970  10:49:48,804, Clouds, overcast clouds, 04d
19,19,100,292.56,1594191600,307.57,40,1008,,307.96,274,5.3,5.5,270,01/19/1970  10:49:51,804, Clouds, overcast clouds, 04d
20,20,100,292.76,1594195200,307.47,40,1008,,308.06,278,5.64,5.5,270,01/19/1970  10:49:55,804, Clouds, overcast clouds, 04d
21,21,100,293.1,1594198800,307.31,42,1007,,307.63,278,5.52,5.5,270,01/19/1970  10:49:58,804, Clouds, overcast clouds, 04d
22,22,100,293.41,1594202400,306.77,44,1006,,307.11,277,5.74,5.5,270,01/19/1970  10:50:02,804, Clouds, overcast clouds, 04d
23,23,100,293.53,1594206000,305.67,47,1005,,306.19,278,6.16,6.0,270,01/19/1970  10:50:06,804, Clouds, overcast clouds, 04d
24,24,100,293.55,1594209600,303.98,51,1006,,304.8,279,6.62,6.5,270,01/19/1970  10:50:09,804, Clouds, overcast clouds, 04d
25,25,100,293.54,1594213200,303.16,56,1007,,303.28,278,5.71,5.5,270,01/19/1970  10:50:13,804, Clouds, overcast clouds, 04d
26,26,100,293.47,1594216800,302.67,58,1008,,302.39,280,4.96,5.0,270,01/19/1970  10:50:16,804, Clouds, overcast clouds, 04n
27,27,100,293.42,1594220400,302.05,60,1009,,301.76,284,4.91,5.0,270,01/19/1970  10:50:20,804, Clouds, overcast clouds, 04n
28,28,100,293.12,1594224000,301.79,60,1009,,301.38,289,4.5,4.5,300,01/19/1970  10:50:24,804, Clouds, overcast clouds, 04n
29,29,100,292.99,1594227600,301.79,61,1009,,300.94,286,3.77,4.0,300,01/19/1970  10:50:27,804, Clouds, overcast clouds, 04n
30,30,100,293.1,1594231200,301.68,63,1009,,300.56,284,3.5,3.5,270,01/19/1970  10:50:31,804, Clouds, overcast clouds, 04n
31,31,100,293.1,1594234800,301.51,64,1008,,300.31,287,3.39,3.5,300,01/19/1970  10:50:34,804, Clouds, overcast clouds, 04n
32,32,100,293.2,1594238400,301.25,66,1007,{'1h': 0.14},300.02,292,3.51,3.5,300,01/19/1970  10:50:38,500, Rain, light rain, 10n
33,33,100,293.34,1594242000,301.4,67,1007,,299.89,287,3.19,3.0,300,01/19/1970  10:50:42,804, Clouds, overcast clouds, 04n
34,34,100,293.44,1594245600,301.56,68,1006,,299.77,292,2.87,3.0,300,01/19/1970  10:50:45,804, Clouds, overcast clouds, 04n
35,35,100,293.54,1594249200,301.86,69,1006,,299.66,292,2.38,2.5,300,01/19/1970  10:50:49,804, Clouds, overcast clouds, 04n
36,36,100,293.64,1594252800,301.68,69,1007,,299.58,278,2.47,2.5,270,01/19/1970  10:50:52,804, Clouds, overcast clouds, 04n
37,37,100,293.71,1594256400,301.77,70,1007,,299.58,281,2.5,2.5,270,01/19/1970  10:50:56,804, Clouds, overcast clouds, 04d
38,38,100,293.65,1594260000,302.6,65,1008,,300.64,290,2.7,2.5,300,01/19/1970  10:51:00,804, Clouds, overcast clouds, 04d
39,39,100,293.31,1594263600,303.72,59,1008,,301.99,294,2.82,3.0,300,01/19/1970  10:51:03,804, Clouds, overcast clouds, 04d
40,40,100,293.16,1594267200,305.02,53,1009,,303.71,295,3.33,3.5,300,01/19/1970  10:51:07,804, Clouds, overcast clouds, 04d
41,41,100,292.88,1594270800,306.66,47,1009,,305.36,293,3.05,3.0,300,01/19/1970  10:51:10,804, Clouds, overcast clouds, 04d
42,42,100,292.8,1594274400,307.55,44,1008,,306.36,279,3.11,3.0,270,01/19/1970  10:51:14,804, Clouds, overcast clouds, 04d
43,43,100,292.94,1594278000,308.17,44,1007,,306.87,276,3.25,3.5,270,01/19/1970  10:51:18,804, Clouds, overcast clouds, 04d
44,44,100,293.33,1594281600,307.11,46,1007,,306.22,268,3.92,4.0,270,01/19/1970  10:51:21,804, Clouds, overcast clouds, 04d
